gradesci,sci_term1 ,sci_term2,sci_term3,sci_term4,sci_term5,total,onetsci
1.97,2,1,2,2.5,1.5,2.58,34
3.06,2.5,3,3.5,3,3,3.52,36
2.85,2.5,2,2.5,4,3,3.05,44
3.03,3,2.5,2.5,3.5,3.5,3.34,42
2.74,2,2.5,2.5,3.5,3,3.21,44
2.94,2.5,2.5,3,3,3.5,3.60,40
2.68,2.5,3.5,2.5,3.5,2,2.73,54
1.53,1,1.5,2,2,1,2.64,18
1.71,1.5,1,1.5,2.5,1,2.69,12
1.79,1,1.5,1.5,2.5,1.5,2.77,44
1.44,1.5,2,1.5,1.5,1,2.16,44
1.32,1,2,1,1.5,1,2.18,15
1.97,2,2,1.5,2,1.5,2.82,36
1.56,1,2,1.5,1.5,1,2.49,32
2.35,2.5,3,2,2.5,1.5,3.14,42
1.29,1,1.5,1,1,1,2.07,30
2.35,2.5,2.5,2,2,2,2.88,42
1.21,1,1.5,1.5,1,1,2.02,34
1.76,1.5,2,1.5,2,1,2.63,28
2.71,3,3,2,3,2,3.24,46
2.15,2,2.5,1.5,2,1.5,2.83,34
1.94,1.5,2.5,2,2,1,2.67,38
2.65,2.5,3,1.5,3,2.5,3.24,52
1.35,1,1.5,1.5,1,1,2.53,28
2.65,3,3,2.5,2.5,1.5,3.32,36
1.29,1,1.5,1,1.5,1,2.06,12
1.21,1,1.5,1,1.5,1,2.11,28
1.53,2,2,1.5,1,1,1.96,26
2.24,2,3,2.5,2,1,2.63,38
2.85,4,3,2.5,2.5,1.5,3.34,44
2.59,3,2.5,2,3,1.5,3.50,30
2.00,1,2,2,2.5,1.5,2.88,32
2.03,1.5,2.5,2,2.5,1.5,2.85,36
2.65,2.5,2.5,2.5,3,2,3.47,38
2.38,2,2.5,3,2.5,1.5,3.11,44
2.53,2.5,2.5,2.5,3,1.5,3.33,40
3.35,3.5,4,3,3.5,2.5,3.80,46
2.29,2.5,2,1.5,2.5,2,3.35,38
1.97,1.5,1.5,2,2.5,1.5,3.10,32
2.94,2.5,3.5,3,3.5,2,3.75,40
3.09,3,3.5,3,3.5,2,3.70,48
2.24,1.5,2,2,2.5,2.5,3.09,22
2.50,2.5,2.5,2,3.5,1,3.39,34
2.18,1.5,2,2,2.5,2,3.26,36
1.71,1.5,1.5,1.5,2,1.5,2.64,16
3.82,4,4,3,4,4,3.90,74
2.09,2,2,1.5,2.5,1.5,3.17,36
2.21,2,2.5,2,2.5,1,3.18,36
2.24,2,2.5,1.5,2.5,1.5,2.94,36
2.21,2.5,2,2,2.5,1,3.35,40
2.38,2.5,2,2,2.5,2,3.42,36
3.03,4,3,2.5,3,2,3.73,46
2.24,2,2,3,2,1.5,3.09,26
2.09,3,2,2,1.5,1.5,2.82,36
2.68,2.5,2.5,2,2.5,3,3.10,48
2.56,3.5,3,1.5,2,2,2.63,30
2.12,2.5,2.5,1.5,1.5,1.5,2.49,34
1.62,1.5,1.5,1.5,1,1,2.01,20
2.38,2.5,2.5,2.5,1.5,2,3.01,36
3.00,3.5,3.5,2,3,2.5,3.61,42
1.91,2.5,2,1,1,2,2.42,24
1.82,2,2.5,1,1,1.5,2.27,22
2.65,2.5,2.5,2,2.5,3,3.38,36
2.12,2,2.5,1.5,1.5,2,2.41,46
2.35,2.5,2.5,1,3,2,2.79,54
2.26,3,2.5,1.5,1.5,2,2.46,50
1.91,2,2,1.5,1.5,1.5,2.03,32
2.56,2.5,2.5,1.5,3,2.5,3.02,36
2.09,2,2.5,1.5,2,1.5,2.56,26
2.29,2,2.5,1.5,2.5,2,2.95,34
1.79,2,2,1.5,1,1,2.22,30
3.18,3.5,3.5,2.5,3.5,2.5,3.08,46
2.74,3,3,2,2,3,2.87,36
1.82,3,3,1,1,0,1.89,0
2.29,2,2.5,1.5,2,2.5,2.95,44
3.47,4,4,2.5,3.5,3,3.90,68
2.68,3,3.5,1.5,2.5,2,3.19,40
3.47,4,3.5,3,4,2.5,3.71,66
2.59,2.5,3,1.5,2.5,2.5,3.20,40
2.15,2,2.5,1.5,1.5,2,2.68,22
2.15,2.5,2.5,1.5,1.5,1.5,2.67,34
2.94,2.5,3,2.5,3.5,2.5,3.42,44
3.29,3,2.5,4,4,2.5,3.45,65
2.32,2.5,2.5,1.5,2,2,3.15,26
3.56,4,3.5,3,4,3,3.71,40
3.12,3.5,3.5,2.5,3,2.5,3.69,64
2.76,3,3,2,2.5,2.5,3.49,54
2.50,3,3,1.5,2,2,3.28,32
