@relation TrainMath

@attribute grademath numeric
@attribute math_term1 numeric
@attribute math_term2 numeric
@attribute math_term3 numeric
@attribute math_term4 numeric
@attribute math_term5 numeric
@attribute total numeric
@attribute onetmath {excellent,good,fair}

@data
3.65,2.5,3,3,4,1.5,3.59,fair
4,4,4,4,4,3.5,3.78,good
2.65,3,3,2,2,1,2.87,fair
1.9,1,1,1,1,1,1.9,fair
1.75,1.5,2.5,1,1,1,1.98,fair
2.95,2,2.5,1,1.5,1,2.77,good
3.2,2.5,3,2,2,1,3.12,good
2.8,1,1,1,1,1.5,2.33,fair
2.2,2.5,1,1,1,1,2.12,fair
3.35,2.5,2,1.5,2,1,3.11,fair
2.55,1.5,2.5,1,2,1,2.65,good
2.8,4,4,4,4,4,3.35,good
2.85,1.5,2.5,1,2,1.5,2.79,fair
2.55,2,1.5,1,2,1,2.73,fair
3,1,2.5,1,1.5,1.5,2.59,good
2.9,4,3.5,1.5,3,3.5,2.79,good
3.3,1.5,3.5,2,2,1,3.22,fair
2.85,2.5,3,2,2.5,1.5,3.01,fair
2.9,2.5,2.5,2,2.5,2.5,3.16,good
2.85,2,3,1.5,2,2.5,3.12,good
3.95,4,4,4,4,4,3.99,good
3.3,2.5,3.5,2.5,2.5,3,3.4,fair
3.7,3.5,4,3,4,3,3.74,good
3.35,4,4,3.5,4,4,3.55,excellent
3.7,2.5,3.5,2,4,2.5,3.61,good
2.55,1.5,1.5,1,1.5,1,2.78,fair
2.7,1.5,2.5,1,1.5,1,2.7,fair
2.9,2.5,2,2,2,2.5,2.79,good
2.95,1,2.5,1.5,1.5,1,2.89,fair
3.4,2.5,3,2,3.5,2,3.42,fair
2.85,2,2,1,1,1,2.72,fair
3.9,3.5,4,4,4,3,3.85,good
3.6,3,3.5,2.5,3,2,3.44,fair
3.1,2,2.5,1.5,1.5,2.5,3.09,good
3.9,3,4,3.5,4,3.5,3.79,good
2.65,1.5,2.5,1,1.5,1,2.73,fair
3.65,3,3.5,3.5,4,4,3.61,good
3.3,3,3.5,2,2.5,1,3.38,fair
3.95,3,4,3.5,4,3.5,3.72,good
2.95,1,2,1,1,1,2.58,fair
3.5,3,3.5,2,3.5,2.5,3.52,good
3.1,2,2.5,1,1.5,2,3.05,fair
3.35,2.5,3,2.5,2.5,2.5,3.34,good
2.8,3,3,2.5,3.5,2,3.21,good
3.5,3,4,3,4,3,3.6,good
2.65,3,3.5,2,4,3,2.73,good
2.6,2,2.5,2,2.5,1,2.64,fair
2.75,2.5,2.5,2,3,2,2.69,fair
2.75,2.5,2.5,2,2,2,2.77,fair
2.05,1,2,1,1,1,2.16,fair
2.1,1,1.5,1.5,1,1,2.18,good
2.85,3,3,2,3,1.5,2.82,fair
2.45,2,2.5,2,2,1.5,2.49,fair
3.4,3,3,2.5,3.5,1.5,3.14,good
1.85,2.5,3,2,1,1,2.07,fair
