gradethai,thai_term1,thai_term2,thai_term3,thai_term4,thai_term5,tatal,onetthai
3,2.5,3,3,3.5,3,3.55,excellent
3.6,3.5,3.5,3.5,4,3.5,3.61,good
2.6,2,1.5,2,4,3.5,2.78,fair
2.5,2.5,3,2.5,1.5,3,2.7,fair
2.7,2,2.5,3,3,3,2.79,good
3.1,2.5,3,3,3.5,3.5,2.89,fair
3.3,3,3.5,2.5,4,3.5,3.42,fair
2.5,1.5,3,2,3,3,2.72,fair
3.9,4,4,4,4,3.5,3.85,good
3.2,3,3,3,4,3,3.44,fair
3.1,3.5,2,3,3.5,3.5,3.09,good
3.8,4,3.5,3.5,4,4,3.79,good
2.8,2.5,3.5,3,2,3,2.73,fair
3.4,3.5,3,3.5,3.5,3.5,3.61,good
3.2,3,3.5,3,3,3.5,3.38,fair
4,4,4,4,4,4,3.72,good
2.8,4,3.5,1,2.5,3,2.58,fair
3.4,3,3.5,3,4,3.5,3.52,good
3,3,2.5,3,3.5,3,3.05,fair
3.1,3,3,2.5,3.5,3.5,3.34,good
2.8,2.5,3,2,3.5,3,3.21,good
3.6,3.5,3.5,3.5,4,3.5,3.6,good
2.3,1.5,2.5,2.5,2.5,2.5,2.73,good
2.4,1.5,2,2.5,3,3,2.64,fair
2.3,2.5,2,2.5,2,2.5,2.69,fair
2.4,1.5,2.5,2.5,3,2.5,2.77,fair
2,1.5,2,3,2,1.5,2.16,fair
2.2,1,2,3,2.5,2.5,2.18,good
2.4,2.5,2,2.5,3,2,2.82,fair
2.2,1.5,3,1.5,3,2,2.49,fair
2.8,2,2.5,3.5,3,3,3.14,good
1.3,1.5,1.5,1.5,1,1,2.07,fair
2.4,2,2.5,2.5,2.5,2.5,2.88,good
1.3,1,1.5,2,1,1,2.02,fair
2.4,2,2,2.5,2.5,3,2.63,good
3,2.5,2,3.5,3.5,3.5,3.24,good
2.3,2,2,2.5,2.5,2.5,2.83,fair
2.4,1.5,2,3,3,2.5,2.67,good
2.7,1.5,2.5,3.5,3.5,2.5,3.24,good
1.9,1,2,2,2.5,2,2.53,fair
3.3,2.5,3,3.5,4,3.5,3.32,good
1.5,1,1.5,1.5,2,1.5,2.06,fair
1.2,1,1,1.5,1.5,1,2.11,fair
1.2,1,1.5,1.5,1,1,1.96,fair
2.3,2,3,2.5,2.5,1.5,2.63,fair
3.3,4,3.5,3,3.5,2.5,3.34,good
3.6,3,3,4,4,4,3.5,fair
2.5,2,2,3,3.5,2,2.88,fair
2.4,1.5,2.5,2.5,3,2.5,2.85,good
3.6,3.5,3,3.5,4,4,3.47,fair
2.9,2.5,2.5,2.5,3,4,3.11,fair
3.4,3,3,3.5,4,3.5,3.33,fair
3.8,3.5,3.5,4,4,4,3.8,fair
3.5,2.5,3,4,4,4,3.35,fair
3,2,3,3,3.5,3.5,3.1,fair
3.8,3.5,3.5,4,4,4,3.75,fair
3.6,3.5,3.5,3.5,3.5,4,3.7,excellent
2.8,2.5,2.5,3,3,3,3.09,fair
3.3,2.5,2.5,3.5,4,4,3.39,good
3.1,2.5,2.5,3,3.5,4,3.26,fair
2.5,2,2,2.5,2.5,3.5,2.64,fair
3.8,3,4,4,4,4,3.9,excellent
3,2.5,2.5,2.5,3.5,4,3.17,fair
2.9,1.5,2.5,3,3.5,4,3.18,fair
2.5,2.5,2.5,2.5,2.5,2.5,2.94,fair
3.4,3.5,2.5,3.5,3.5,4,3.35,fair
3.3,2.5,2.5,3.5,4,4,3.42,fair
3.9,3.5,4,4,4,4,3.73,good
2.8,3,2.5,2.5,3,3,3.09,fair
2.5,3,3,2,2,2.5,2.82,fair
3.7,3,4,4,4,3.5,3.1,good
1.8,3,2.5,1,1,1.5,2.63,fair
2,3,2.5,1,1,2.5,2.49,fair
1.4,2,2,1,1,1,2.01,fair
2.6,2.5,2.5,3,2.5,2.5,3.01,fair
3.8,3.5,4,4,4,3.5,3.61,good
1.8,2.5,2,1,1,2.5,2.42,fair
1.5,2,2.5,1,1,1,2.27,fair
3.4,3.5,3.5,3.5,3.5,3,3.38,good
1.8,2,1,2,1.5,2.5,2.41,fair
1.9,2,2.5,1,1,3,2.79,fair
1.8,2.5,2.5,1,1,2,2.46,good
1.1,1.5,1,1,1,1,2.03,fair
2.8,2.5,3,2.5,3,3,3.02,good
1.8,1.5,2,1,2.5,2,2.56,fair
2.4,2,2,2.5,3,2.5,2.95,good
1.4,2,1.5,1,1.5,1,2.22,fair
2.9,2.5,3,2.5,3.5,3,3.08,fair
2.2,2.5,3,1,1.5,3,2.87,good
1.4,3,3,1,0,0,1.89,fair
3,2.5,3,3,3.5,3,2.95,fair
3.9,3.5,4,4,4,4,3.9,excellent
2.9,2.5,3.5,3,2.5,3,3.19,fair
3.6,3,3.5,3.5,4,4,3.71,good
3,3.5,3,2.5,3.5,2.5,3.2,fair
2.2,2.5,2.5,2.5,1,2.5,2.68,fair
2,2.5,2,2,1,2.5,2.67,fair
3.1,2.5,2.5,3,3.5,4,3.42,good
3.3,2.5,3.5,3.5,3.5,3.5,3.45,good
2.9,3,2.5,2.5,3.5,3,3.15,fair
3.6,3.5,3.5,3.5,4,3.5,3.71,good
3.8,3.5,3.5,4,4,4,3.69,good
3.7,3,3.5,4,4,4,3.49,good
3.4,3,3,3.5,4,3.5,3.28,good
3.5,3.5,3.5,3.5,3.5,3.5,3.67,good
3.5,3.5,3.5,3.5,3.5,3.5,3.83,good
4,4,4,4,4,4,3.7,good
4,4,4,4,4,4,3.83,good
3.5,4,3.5,3.5,3.5,3,3.52,good
3.8,3.5,3.5,4,4,4,3.72,excellent
2.1,3,2.5,1,1.5,2.5,2.49,fair
2.9,3,2.5,3,3,3,3.12,good
3.5,3,3,3.5,4,4,3.74,excellent
4,4,4,4,4,4,3.71,good
3.1,3,3.5,3,2.5,3.5,3.14,fair
2.3,3,2.5,1,3,2,2.9,fair
2.4,3,3,1,2.5,2.5,3,fair
2.3,2,2.5,2.5,2,2.5,2.52,fair
2.8,2,2.5,3.5,3,3,3.06,fair
2.7,2.5,2,2.5,3,3.5,3.32,good
2.8,1.5,3,3.5,3,3,3.33,good
2.3,2,3,2.5,1.5,2.5,2.34,fair
3.1,1.5,4,3.5,3.5,3,2.93,fair
2.9,1.5,3,3,3.5,3.5,3.14,good
