gradeeng,eng_term1,eng_term2,eng_term3,eng_term4,eng_term5,total,oneteng
1.89,2.5,2,1.5,3,1.5,2.06,good
2.61,4,3.5,3,3.5,1.5,2.11,good
1.80,2.5,1.5,1.5,3,1.5,1.96,fair
2.28,1.5,3,2.5,3.5,1.5,2.63,fair
2.85,3,3,2.5,3.5,2.5,3.34,good
3.74,4,3,4,4,3,3.50,good
3.06,3,3,2.5,3.5,2.5,2.88,fair
3.00,3,3,2.5,3,2.5,2.85,fair
3.22,4,3,3,3.5,2.5,3.47,good
3.74,4,4,4,4,3,3.11,good
3.57,4,4,3,3.5,2.5,3.33,fair
3.85,4,3.5,4,4,3.5,3.80,good
3.44,4,3.5,3,3.5,2.5,3.35,good
3.30,4,3,2.5,3.5,2.5,3.10,fair
4.00,4,4,4,4,4,3.75,good
3.94,4,4,4,4,3.5,3.70,good
3.33,3.5,3,3,3.5,3.5,3.09,good
3.76,3,4,4,4,3.5,3.39,excellent
3.98,4,4,4,4,4,3.26,excellent
2.89,3.5,2.5,2.5,3.5,2.5,2.64,fair
3.83,4,3.5,3.5,4,4,3.90,excellent
3.35,3.5,3,3.5,3.5,3,3.17,fair
3.65,4,4,3.5,4,3,3.18,fair
2.80,2.5,2.5,3,3.5,2,2.94,good
3.87,4,4,4,4,4,3.35,fair
3.44,4,3.5,3,3.5,2.5,3.42,fair
3.89,4,4,4,4,3,3.73,good
3.80,4,4,4,4,3,3.09,fair
2.56,1,1.5,2,3.5,3.5,2.82,fair
2.29,2,2,2,2,1,3.10,fair
2.48,1,2.5,2.5,3,1,2.63,good
2.08,1.5,2,2.5,2,1.5,2.49,good
1.46,1,1.5,1,1.5,1,2.01,fair
3.21,3.5,3,3,3,1.5,3.01,fair
3.60,4,4,2.5,4,2.5,3.61,good
1.83,1,1,2,2,1,2.42,fair
2.60,2,3.5,2,2.5,1,2.27,fair
2.65,2,3.5,1.5,2.5,1.5,3.38,fair
2.23,1.5,2,2,2,1,2.41,good
3.46,2.5,3.5,3,4,3.5,2.79,good
2.25,2,2,2,3.5,1,2.46,good
1.71,1.5,1.5,1.5,2.5,1,2.03,good
2.56,1.5,2.5,2,2.5,1.5,3.02,fair
2.81,1.5,2.5,2.5,4,3.5,2.56,fair
2.73,2,2,2.5,3,2,2.95,fair
1.90,1,2,1.5,2,1,2.22,fair
1.94,1,1.5,2,2,1,3.08,fair
2.31,1.5,2,2,2,1,2.87,fair
1.58,2,2,0,2,0,1.89,fair
3.12,3.5,3.5,2.5,3,2,2.95,good
3.92,4,4,4,4,4,3.90,excellent
2.98,3,4,2.5,3,1.5,3.19,good
3.63,3.5,4,3,3,4,3.71,fair
2.90,3.5,3,2,3,1.5,3.20,good
2.35,2.5,2.5,2.5,2.5,1,2.68,good
2.29,3,2.5,2,2.5,1,2.67,good
3.21,3,3,2.5,3.5,3.5,3.42,good
3.12,3.5,3,4,4,1,3.45,good
2.50,2.5,2,2,2.5,1,3.15,good
3.98,4,4,4,4,4,3.71,good
3.90,4,4,3.5,4,4,3.69,excellent
3.29,3,3,2.5,3.5,2.5,3.49,good
2.58,2,2,2,2.5,2,3.28,fair
3.65,4,4,3.5,3.5,2,3.67,good
