gradesci,sci_term1,sci_term2,sci_term3,sci_term4,sci_term5,total,onetsci
2.85,3,2,2.5,3,3,3.09,good
3.21,3.5,3,2.5,3.5,3,3.79,fair
2.32,1.5,1.5,2.5,2,3,2.73,fair
3.15,2.5,2.5,3,3.5,4,3.61,good
2.91,2,2.5,3.5,3.5,3,3.38,good
3.38,3,2.5,4,3.5,3.5,3.72,good
1.97,2,1,2,2.5,1.5,2.58,good
3.06,2.5,3,3.5,3,3,3.52,good
2.85,2.5,2,2.5,4,3,3.05,good
3.03,3,2.5,2.5,3.5,3.5,3.34,good
2.74,2,2.5,2.5,3.5,3,3.21,good
2.94,2.5,2.5,3,3,3.5,3.6,good
2.68,2.5,3.5,2.5,3.5,2,2.73,good
1.53,1,1.5,2,2,1,2.64,fair
1.71,1.5,1,1.5,2.5,1,2.69,fair
1.79,1,1.5,1.5,2.5,1.5,2.77,good
1.44,1.5,2,1.5,1.5,1,2.16,good
1.32,1,2,1,1.5,1,2.18,fair
1.97,2,2,1.5,2,1.5,2.82,good
1.56,1,2,1.5,1.5,1,2.49,fair
2.35,2.5,3,2,2.5,1.5,3.14,good
1.29,1,1.5,1,1,1,2.07,fair
2.35,2.5,2.5,2,2,2,2.88,good
1.21,1,1.5,1.5,1,1,2.02,good
1.76,1.5,2,1.5,2,1,2.63,fair
2.71,3,3,2,3,2,3.24,good
2.15,2,2.5,1.5,2,1.5,2.83,good
1.94,1.5,2.5,2,2,1,2.67,good
2.65,2.5,3,1.5,3,2.5,3.24,good
1.35,1,1.5,1.5,1,1,2.53,fair
2.65,3,3,2.5,2.5,1.5,3.32,good
1.29,1,1.5,1,1.5,1,2.06,fair
1.21,1,1.5,1,1.5,1,2.11,fair
1.53,2,2,1.5,1,1,1.96,fair
2.24,2,3,2.5,2,1,2.63,good
2.85,4,3,2.5,2.5,1.5,3.34,good
2.59,3,2.5,2,3,1.5,3.5,fair
2,1,2,2,2.5,1.5,2.88,fair
2.03,1.5,2.5,2,2.5,1.5,2.85,good
2.65,2.5,2.5,2.5,3,2,3.47,good
2.38,2,2.5,3,2.5,1.5,3.11,good
2.53,2.5,2.5,2.5,3,1.5,3.33,good
3.35,3.5,4,3,3.5,2.5,3.8,good
2.29,2.5,2,1.5,2.5,2,3.35,good
1.97,1.5,1.5,2,2.5,1.5,3.1,fair
2.94,2.5,3.5,3,3.5,2,3.75,good
3.09,3,3.5,3,3.5,2,3.7,good
2.24,1.5,2,2,2.5,2.5,3.09,fair
2.5,2.5,2.5,2,3.5,1,3.39,good
2.18,1.5,2,2,2.5,2,3.26,good
1.71,1.5,1.5,1.5,2,1.5,2.64,fair
3.82,4,4,3,4,4,3.9,excellent
2.09,2,2,1.5,2.5,1.5,3.17,good
2.21,2,2.5,2,2.5,1,3.18,good
2.24,2,2.5,1.5,2.5,1.5,2.94,good
2.21,2.5,2,2,2.5,1,3.35,good
2.38,2.5,2,2,2.5,2,3.42,good
3.03,4,3,2.5,3,2,3.73,good
2.24,2,2,3,2,1.5,3.09,fair
2.09,3,2,2,1.5,1.5,2.82,good
2.68,2.5,2.5,2,2.5,3,3.1,good
2.56,3.5,3,1.5,2,2,2.63,fair
2.12,2.5,2.5,1.5,1.5,1.5,2.49,good
1.62,1.5,1.5,1.5,1,1,2.01,fair
2.38,2.5,2.5,2.5,1.5,2,3.01,good
3,3.5,3.5,2,3,2.5,3.61,good
1.91,2.5,2,1,1,2,2.42,fair
1.82,2,2.5,1,1,1.5,2.27,fair
2.65,2.5,2.5,2,2.5,3,3.38,good
2.12,2,2.5,1.5,1.5,2,2.41,good
2.35,2.5,2.5,1,3,2,2.79,good
2.26,3,2.5,1.5,1.5,2,2.46,good
1.91,2,2,1.5,1.5,1.5,2.03,fair
2.56,2.5,2.5,1.5,3,2.5,3.02,good
2.09,2,2.5,1.5,2,1.5,2.56,fair
2.29,2,2.5,1.5,2.5,2,2.95,good
1.79,2,2,1.5,1,1,2.22,fair
3.18,3.5,3.5,2.5,3.5,2.5,3.08,good
2.74,3,3,2,2,3,2.87,good
1.82,3,3,1,1,0,1.89,fair
2.29,2,2.5,1.5,2,2.5,2.95,good
3.47,4,4,2.5,3.5,3,3.9,excellent
2.68,3,3.5,1.5,2.5,2,3.19,good
3.47,4,3.5,3,4,2.5,3.71,good
2.59,2.5,3,1.5,2.5,2.5,3.2,good
2.15,2,2.5,1.5,1.5,2,2.68,fair
2.15,2.5,2.5,1.5,1.5,1.5,2.67,good
2.94,2.5,3,2.5,3.5,2.5,3.42,good
3.29,3,2.5,4,4,2.5,3.45,good
2.32,2.5,2.5,1.5,2,2,3.15,fair
3.56,4,3.5,3,4,3,3.71,good
3.12,3.5,3.5,2.5,3,2.5,3.69,good
2.76,3,3,2,2.5,2.5,3.49,good
2.5,3,3,1.5,2,2,3.28,fair
3.12,4,3.5,2,3,2.5,3.67,good
3.74,4,4,3.5,4,3,3.83,good
3.21,3.5,3,2.5,4,2.5,3.7,good
3.65,4,3.5,4,4,2.5,3.83,good
2.68,2.5,3,1.5,2.5,3,3.52,good
3.29,4,3.5,2.5,3.5,2.5,3.72,good
2.18,2.5,1.5,2,2,2,2.49,good
2.68,3,3.5,1.5,2.5,2,3.12,good
3.65,4,4,3.5,4,2.5,3.74,good
3.29,3.5,3.5,2.5,3.5,3,3.71,good
2.59,3,3.5,2,1.5,2,3.14,good
2.41,2.5,3,1.5,2,2,2.9,good
2.68,2.5,3,2,2.5,2.5,3,good
2.15,2,2,1.5,2,2,2.52,fair
2.41,3,2,1.5,2.5,2,3.06,good
2.59,3,2,1.5,3,2.5,3.32,good
2.68,2,3,2.5,2.5,2.5,3.33,good
1.79,2,1.5,1,1.5,2,2.34,fair
2.47,2.5,2,2,3,2,2.93,good
2.68,2,2.5,2.5,3,2.5,3.14,good
1.97,1.5,3,1.5,1.5,1,2.37,fair
2.68,2,2.5,3,3,2,2.91,good
2.94,3.5,3.5,2,3,2,3.32,good
2.47,3,2,1.5,2.5,2.5,3.03,good
2.41,2.5,2,1.5,2.5,2.5,3.05,good
2.21,2.5,2.5,1,2.5,2,2.93,good
2.32,2,2,1.5,2.5,2.5,3.01,good
2.15,2,2.5,1.5,1.5,2,2.78,fair
2.76,3,2.5,2,3,2.5,3.1,good
2.24,2.5,2,1.5,2,2,2.67,fair
2.32,2.5,2.5,1.5,2,2,2.94,fair
2.03,2,1.5,1.5,2.5,1.5,2.53,fair
2.12,2.5,2.5,1,2,2,2.79,good
2.15,2,2.5,1.5,1.5,2,2.78,fair
2.5,2.5,2.5,2,2.5,2,2.97,good
3.12,3.5,4,2.5,2.5,2.5,3.59,good
3.38,3.5,3.5,2.5,3.5,3.5,3.57,good
2.68,2.5,2.5,2,3,2.5,3.11,fair
1.91,2,1.5,1.5,1.5,2,2.58,fair
2.94,3,3.5,2.5,2.5,2.5,3.56,good
2.76,3,3,2,3,2,3.2,good
2.59,2.5,3,2,2.5,2,3.23,good
2.76,3,3,2.5,2.5,2,3.04,fair
2.12,2.5,2.5,1,1.5,2,2.88,good
2.85,3,2.5,2.5,3,2.5,3.4,good
2.76,2.5,3,2,3,2.5,3.37,good
2.32,2,2,2,2.5,2,2.78,fair
2.68,3,3,2,2.5,2,3.16,good
2.85,3,3,2,3,2.5,3.32,good
2.5,2.5,3,1.5,2.5,2,3.1,fair
2.59,3.5,3,1,2.5,2,3.11,good
2.65,2.5,3,2,2.5,2.5,3.07,good
2.5,2.5,2.5,1.5,2.5,2.5,2.96,fair
2.59,3,2.5,1.5,2.5,2.5,3.13,fair
3.12,3.5,3,2,3.5,3,3.61,good
2.59,3.5,2.5,1.5,2.5,2,2.81,fair
2.5,2.5,2.5,1.5,2.5,2.5,3.02,fair
1.65,1.5,1.5,1.5,1,2,2.32,fair
2.56,3,3,1.5,2.5,2,2.85,good
3.18,3,3,3,3,2,3.14,good
3.57,4,3,3.5,3.5,3.5,3.51,good
3.98,4,4,4,4,4,3.94,good
3.86,4,3.5,4,4,3.5,3.86,excellent
2.46,2.5,1.5,2,2,1,2.69,good
3.91,4,4,4,4,4,3.33,excellent
3.59,3,3.5,3.5,3.5,3.5,3.68,good
2.98,3,3,2.5,2.5,1,3.14,good
3.54,4,3,3.5,3.5,2.5,3.2,good
2.98,3.5,2,2,3,2,3.07,good
3.52,3.5,3.5,3.5,4,3,3.45,excellent
3.98,4,4,4,4,4,3.9,excellent
3.88,4,4,3.5,4,3.5,3.75,good
4,4,4,4,4,4,3.88,excellent
3.98,4,4,4,4,4,3.92,excellent
3.95,4,4,3.5,4,4,3.9,excellent
3.98,4,4,4,4,4,3.99,excellent
3.54,3.5,3.5,3,3,3,3.61,excellent
4,4,4,4,4,4,4,excellent
3.77,4,3.5,3.5,4,3,3.93,excellent
4,4,4,4,4,4,3.92,excellent
