Thai,Math,Sci,Eng,Art,Social,Activity,Work,class
3.3,3.26,3.15,3.48,3.6,3.84,3.65,3.83,Social
3.8,3.66,3.55,3.6,4,3.9,3.9,3.92,general
3.9,4,3.9,3.81,4,3.8,3.9,3.92,calculate
3.2,3.36,3.03,3.42,4,3.62,3.85,3.67,general
3.7,3.72,2.9,3.35,3.9,3.86,3.85,3.5,general
3.7,3.72,3.53,3.75,3.9,3.98,3.85,3.92,Social
3.8,3.64,3.35,3.33,4,3.84,3.85,3.58,general
3.1,3.28,2.93,3.4,3.6,3.74,3.65,3.67,Social
3.1,3.08,2.73,3.21,3.7,3.7,3.85,3.83,Social
3.4,3.36,2.53,2.88,3.8,3.7,3.75,3.33,general
3.2,3.84,3.33,3.27,3.9,3.68,3.8,3.5,general
3.7,4,3.7,3.75,3.9,3.88,3.75,3.58,calculate
3.7,3.38,3.3,3.5,3.6,3.96,3.8,3.92,Social
3.5,3.2,3.15,3.54,3.9,3.88,7.55,3.58,Social
3.6,4,3.6,3.88,3.9,3.94,3.65,3.92,calculate
2.6,2,2.56,3.09,2.7,2.88,3.55,3.07,Social
3.6,3,3.18,3.76,3.9,3.82,3.75,3.71,general
4,3.82,3.56,3.94,3.6,3.76,3.7,3.86,language
2.4,2.32,2.29,2.81,3.3,3.18,3.55,3.07,Social
1.2,1,1.38,2.48,1.9,1.48,3,2.79,Social
1.2,1.4,1.44,2.26,1.9,1.86,3.2,2.57,Social
3,1.44,2,2.93,3,3.14,3.4,3.21,Social
2.9,2.38,2.29,3.59,3.3,3.4,3.7,3.43,Social
1.6,1.14,1.85,3.91,1.8,1.54,3.45,3.36,language
1.6,1.22,1.71,2.56,1.9,1.72,3.3,2.93,Social
2.9,1.84,2.29,3.78,3.6,3.22,3.7,3.57,language
2.2,1.48,2.88,2.91,2.7,2.28,3.5,3.29,Social
2.6,3.96,3,3.19,3.3,3.36,3.65,3.71,calculate
2.5,1.62,2.44,2.94,3.5,2.5,3.55,3.29,Social
2.4,1.58,2.03,2.8,3.3,2.68,3.55,3.5,Social
